('CNOT', [0, 1], -999)
('CNOT', [1, 2], -999)
('CNOT', [2, 3], -999)
('CNOT', [3, 4], -999)
('CNOT', [4, 5], -999)
('CNOT', [5, 6], -999)
('CNOT', [6, 7], -999)
('CNOT', [7, 8], -999)
('CNOT', [8, 9], -999)
('CNOT', [9, 0], -999)
('RX', 0, 0.6772609829270004)
('RY', 0, 0.9702757956139905)
('RZ', 0, 0.5790872870680636)
('RX', 1, 0.44000435018047046)
('RY', 1, 0.14944492260396136)
('RZ', 1, 0.6572003799744601)
('RX', 2, 0.17818305780472543)
('RY', 2, 0.6703741942908078)
('RZ', 2, 0.10662418953981934)
('RX', 3, 0.47398482822605703)
('RY', 3, 0.4366419832965418)
('RZ', 3, 0.625062574763207)
('RX', 4, 0.8349983931402967)
('RY', 4, 0.668498573935358)
('RZ', 4, 0.3243078541699753)
('RX', 5, 0.8822482671512627)
('RY', 5, 0.9402592028821053)
('RZ', 5, 0.9301800600226656)
('RX', 6, 0.845443129047378)
('RY', 6, 0.45815040668179974)
('RZ', 6, 0.4622862770911329)
('RX', 7, 0.3734230150636507)
